state,district,month,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st
Andhra Pradesh,West Godavari,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017955303804528294,0.03440531782940767,0.0021385970659641975,3.875504487131557e-05,7.938068471417597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002796038647342995,0.003295690609676796,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,Y.S.R.,1,0.021937097468690735,0.0018962033658060464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.410077282085904e-05,0.0,0.007170992607589714,0.013955584329838752,0.007955913172644985,0.00045204829165572624,0.00018176727758275363,0.0015163277880468268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00249847623364192,0.0020325715429257555,0.0006453080897478832,0.0,0.0,0.0
Arunachal Pradesh,Anjaw,1,0.0,0.0,0.0,0.000203224416321187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021550479566603294,0.1263860366299894,0.025679584111894922,0.0,0.0,0.0,0.0,0.0,0.0,0.0004307333583644863,0.0,0.0,0.0,0.000376368653227649,0.0,0.024190274164498697,0.04726935128928862,0.017905079921173635,0.0,0.0
Arunachal Pradesh,Changlang,1,0.0,0.0,0.0,0.0001277100152738381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003404104546948927,0.08645734937117766,0.018420676459182005,0.0,0.0,0.0,0.0,0.0,0.0,0.00810258419445941,0.0,0.0,0.0,0.006832106012407951,0.00031398922370784276,0.011807004202521513,0.04218497344878726,0.008066017079045324,0.0,0.0
Arunachal Pradesh,Dibang Valley,1,0.0,0.0,0.0,0.006792493999563605,0.0,0.0,0.0,0.0,0.0,0.0,6.214435773680481e-05,0.005763947454937891,0.057638877694780176,0.010514187181697845,0.0,0.0,0.0,0.0,0.0,0.0,2.573120895026963e-05,8.63718485977525e-06,0.0,1.5756224451876626e-07,0.00023226945992020948,0.00033478279987417514,0.29259075445267163,0.05657800315744152,0.027891175826581998,0.0,0.0
Arunachal Pradesh,East Kameng,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005764805100130076,0.02141677654803777,0.0010710849436070344,2.550101047271574e-05,0.0,0.0,0.0,0.0,0.0,0.0008526318080654729,0.021297594326538872,0.0063732672151470765,0.0,0.0,0.01230509827531972,0.01893560136081649,0.009949708175859925,0.0,0.0,0.0
Arunachal Pradesh,East Siang,1,0.0,0.0,0.0,0.04627552912939123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038437156048542714,0.08241747613505576,0.010124260032627473,0.0,0.0,0.0,0.0,0.0,0.0,0.00040424767781641285,0.00041886530777477077,0.0,0.00030042066146413973,0.001464305172322888,0.005379453338249073,0.10884690814488693,0.057428359565612604,0.0,0.0,0.0
Arunachal Pradesh,Kamle,1,0.0004761664819107125,0.0,0.0,0.0007623554440322932,0.0009891026248460152,0.0,0.0,0.0,0.0,0.0,0.0,0.007737531983018625,0.01699993229803052,0.004720919722954933,5.9267403541366556e-05,0.0,0.0,0.0,0.0,0.0,0.0024064079751429774,7.42541962471794e-05,0.0016264971363585139,0.006605328874024525,0.000913460693509552,0.03901010996147459,0.016613247948769262,0.04176135004544803,0.0,0.0,0.0
Arunachal Pradesh,Kra Daadi,1,5.2891812410103255e-06,0.0,0.0,6.298603534802531e-06,2.797278897993586e-05,0.0,0.0,0.0,0.0,0.0,1.2118569086326985e-07,0.0007508076158893066,0.016193601841493568,0.016463925488851214,0.0007600385340890563,0.0,0.0,0.0,0.0,0.0,0.00622258136485082,0.0005867256902536115,7.525229757282051e-05,0.0009136454849498327,1.0146575510993165e-05,0.03381530125249874,0.01788561136682009,0.0355660072716835,7.882636303919421e-08,0.0,0.0
Arunachal Pradesh,Kurung Kumey,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011999170942980889,0.01748554885341879,0.015532215623367424,0.0007131708499189977,0.0,0.0,0.0,0.0,0.0,0.0050076725925200394,0.003737415006784464,0.001104274458776882,0.0002795912300260126,0.0,0.031636129329035444,0.019524274564738844,0.02902884753384682,0.0,0.0,0.0
Arunachal Pradesh,Leparada,1,0.00032219545042280105,0.0,0.0,0.000847507091424831,0.0007003496137291964,0.0,0.0,0.0,0.0,0.0,0.0,0.007041481439128632,0.03222481567332833,0.006386587480409094,0.0,0.0,0.0,0.0,0.0,0.0,0.00012324142546974224,0.0,0.0013402200752026066,0.013303010033444815,0.0006180881913566144,0.03304327090570237,0.03624502701620973,0.04033488016074248,0.0,0.0,0.0
Arunachal Pradesh,Lohit,1,0.0,0.0,0.0,0.002059567968579533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008950135079117768,0.12111173081696934,0.02450089260817866,0.0,0.0,0.0,0.0,0.0,0.0,0.002043048141436897,0.0,0.0,0.0,0.0018297773247332994,0.00015751042621486966,0.026958094856914146,0.048305386786585656,0.01595379899277425,0.0,0.0
Arunachal Pradesh,Longding,1,0.0,0.0,0.0,0.001928185686231726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021400070041024026,0.037216739795540056,0.0046318191579035085,0.0,0.0,0.0,0.0,0.0,0.0,0.0011845666617692674,0.00030217177812928714,0.0,0.0,7.75787799434085e-05,0.005012328808823977,0.009387872723634179,0.03318297612782854,0.0,0.0,0.0
Arunachal Pradesh,Lower Dibang Valley,1,0.0,0.0,0.0,0.028557713288239143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002271873525922326,0.0915665913347927,0.015646956638793362,0.0,0.0,0.0,0.0,0.0,0.0,0.0013516876982766597,0.00022253566528978284,0.0,4.3400297287253806e-05,0.0019222306191672965,0.001334146234216926,0.12997718631178706,0.054432736927713735,0.011327348368732209,0.0,0.0
Arunachal Pradesh,Lower Siang,1,0.000771582091193096,0.0,0.0,0.0018821241544839623,0.001504800331160508,0.0,0.0,0.0,0.0,0.0,0.0,0.012029688817736103,0.0337049419213819,0.004150387651559099,0.0,0.0,0.0,0.0,0.0,0.0,0.0001675220791093263,0.0,0.0019991188795426373,0.0034397473058342624,0.001480175398513155,0.030766787643455588,0.032538002801681,0.04476827488877195,0.0,0.0,0.0
Arunachal Pradesh,Lower Subansiri,1,2.125044662079833e-05,0.0,0.0,2.5306022256164086e-05,8.355917748507533e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.006569240555182322,0.014325897937669054,0.0008857525632437734,2.657236585245453e-05,0.0,0.0,0.0,0.0,0.0,0.0028708501341343307,0.0019500273627551673,0.0003333534829872033,0.004986733556298774,4.0766094307457076e-05,0.02241022293327561,0.013862077246347807,0.03420848682007368,0.0,0.0,0.0
Arunachal Pradesh,Namsai,1,0.0,0.0,0.0,0.0018963615535675321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003987692791492159,0.09659781483833738,0.02018249590554058,0.0,0.0,0.0,0.0,0.0,0.0,0.009377050786032617,0.0,0.0,0.0,0.007842598288194872,0.0007075315661476954,0.018688413047828697,0.04865390135387266,0.008552222465513465,0.0,0.0
Arunachal Pradesh,Pakke Kessang,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013911112222873397,0.027389637729985202,0.0005426160310505854,0.0,0.0,0.0,0.0,0.0,0.0,0.0013827861849802202,0.04137863306170488,0.01265760273762077,0.0,0.0,0.021163136016018994,0.03761753051831099,0.013092678084485483,0.0,0.0,0.0
Arunachal Pradesh,Papum Pare,1,3.0184374227002466e-05,0.0,0.0,4.493121317914031e-05,9.309400669303314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.013264054660586914,0.025144833856142988,0.00014288397375699903,2.4175054861712585e-07,0.0,0.0,0.0,0.0,0.0,0.0019959133922109584,0.024113934014528497,0.004138576683093758,0.0018856484578223707,5.7904620467846535e-05,0.0232939735970695,0.02420060036021613,0.02642413768358609,0.0,0.0,0.0
Arunachal Pradesh,Shi Yomi,1,0.0,0.0,0.0,0.003146214270128737,0.0,0.0,0.0,0.0,0.0,0.0,0.05328731911253497,0.03133074372132248,0.04066663872617133,0.043024996234058845,0.00011063172869368541,0.0,0.0,0.0,0.0,0.0,0.0,0.008293238775647898,0.00011948300769443563,0.004476484578223709,0.06644941035870577,0.050285304533416314,0.05110970582349409,0.06969274745251879,0.003710745566017079,0.0,0.0
Arunachal Pradesh,Siang,1,0.0,0.0,0.0,0.006385337115426577,0.0,0.0,0.0,0.0,0.0,0.0,0.015340850480339823,0.008157134893294643,0.041549988232752924,0.02497302945126231,0.0,0.0,0.0,0.0,0.0,0.0,1.3677402854639743e-05,0.0014717264024349103,1.5974918803725296e-05,0.012236269044964696,0.013660960649572049,0.030631458249478268,0.04246764058435061,0.04384729464670144,0.0040119608057805995,0.0,0.0
Arunachal Pradesh,Tawang,1,0.0,0.0,0.0,0.0011119954178485708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016036785831701425,0.00835577707353401,0.000936860390952767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012811167002766261,0.0014850773029517538,0.0,0.0,1.3476588792791454e-05,0.0023908425055033018,0.0,0.0,0.0,0.0
Arunachal Pradesh,Tirap,1,0.0,0.0,0.0,0.001958100589133755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024915593419002555,0.05152506746017674,0.009172294211347822,0.0,0.0,0.0,0.0,0.0,0.0,0.005956979066337997,8.995974301500079e-09,0.0,0.0,0.0045562751542206365,0.0018855771539900356,0.006496874124474685,0.03736975553748266,0.0,0.0,0.0
Arunachal Pradesh,Upper Siang,1,0.0,0.0,0.0,0.009724961815404757,0.0,0.0,0.0,0.0,0.0,0.0,0.029548342188135544,0.01912355808402064,0.04797554991730688,0.028824321249202742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004282743472296148,0.0,0.0030762913415087324,0.03552057153904286,0.027521283684368965,0.14705223133880327,0.06460854901210353,0.012569246770308734,0.0,0.0
Arunachal Pradesh,Upper Subansiri,1,0.00010665167242311252,0.0,0.0,0.000483055313113681,0.0002190711546230306,0.0,0.0,0.0,0.0,0.0,0.005419474414723432,0.00577459654940751,0.022482921372222204,0.026697157435570357,0.0008766161205925514,0.0,0.0,0.0,0.0,0.0,0.001470128583944148,0.0014402254990891576,0.0008859000235648496,0.004896484578223709,0.006374048753053657,0.06291480776190686,0.03344390634380628,0.034524350571688275,0.0006677304576308299,0.0,0.0
Arunachal Pradesh,West Kameng,1,0.0,0.0,0.0,0.00029828169321405193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005407703083234465,0.015708146481270734,0.003090978728041358,0.0,0.0,0.0,0.0,0.0,0.0,0.0001227968504279783,0.03911614552487761,0.0036011700460026846,0.0,0.0,0.00033476047610511115,0.001407796678006804,0.00029051332344639527,0.0,0.0,0.0
Arunachal Pradesh,West Siang,1,6.190530722930199e-05,0.0,0.0,0.0006733198778092952,0.00013480078002264258,0.0,0.0,0.0,0.0,0.0,0.002916293814497834,0.0036703283351677413,0.03152090862490852,0.012887659571740378,7.36581505731497e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.1378483128799863e-05,0.0006794924336342122,0.02173846153846154,0.001057022091776657,0.034697901903946914,0.028375905543325995,0.030459204420418128,0.001430824392380118,0.0,0.0
Assam,Baksa,1,0.0,0.0,0.0,0.00045818950469125023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014270286882316786,0.048246035404906136,0.004886877538003955,0.0,0.0,0.0,0.0,0.0,2.5709529307520876e-07,0.002958791104145921,0.009076563237951018,0.00019287829267543007,0.0,0.0,0.0002166816055525302,0.0017945967580548327,0.0,0.0,0.0,0.0
Assam,Barpeta,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007758758701525178,0.07864873316719485,0.00029389180370953215,0.0,0.0,0.0,0.0,0.0,5.834190317643584e-05,0.0016278955874430678,0.022127772821662308,0.0,0.00023747751765143066,0.0,0.0,0.0031686772063237944,0.00047462146581830363,0.0,0.0,0.0
Assam,Biswanath,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033135979645220776,0.03005329112169268,0.000238847205351162,2.7035343358778397e-06,0.0,0.0,0.0,0.0,0.0002707085895336036,0.012435422346289677,0.030385327565914253,0.0038677141071483466,0.001404630248978075,0.0,0.0077315330002807395,0.013027016209725835,0.026510608525092093,0.0,0.0,0.0
Assam,Bongaigaon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.246187052416416e-05,0.0530116092758146,0.0,0.0,0.0,0.0,0.0,0.0,0.0010607832344333161,0.0003143477480124721,0.0028999497724768166,0.0,0.0,0.0,0.0,0.0003420316189713828,0.0,0.0,0.0,0.0
Assam,Cachar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017748395488786288,0.020145623712453615,0.0,8.334417852532315e-05,4.2899620754352804e-05,0.0,0.0,0.0,0.0,0.041729326172246985,0.0,0.0,0.0009451059085841694,0.001943136083235206,0.0,0.05724450670402241,0.02022281490695116,0.0,0.0,0.0
